dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
Ameriflux,University of Illinois Restored Native Prairie,US-UiD,-88.1985,40.0646,NA,NA,5.64283148190174,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Sorghum-Soy,US-UiE,-88.2033,40.0629,NA,NA,5.361564828470592,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Miscanthus 2,US-UiF,-88.2015,40.0665,NA,NA,7.131108810742291,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Maize-Soy 2,US-UiG,-88.2009,40.0629,NA,NA,5.166285244589953,10.739485740661621,NA,0,NA
Ameriflux,ULM Flux Tower,US-ULM,-91.9743,32.457,NA,NA,169.41072532526073,48.969112396240234,NA,59.307471023251445,NA
Ameriflux,Douglas Lake,US-UM3,-84.6707,45.568600000000004,NA,NA,183.56059414753474,84.12987518310547,NA,60.42409688005238,NA
Ameriflux,Univ. of Mich. Biological Station,US-UMB,-84.7138,45.5598,NA,NA,191.64701643080872,84.12987518310547,NA,62.012954711914084,NA
Ameriflux,UMBS Disturbance,US-UMd,-84.6975,45.5625,NA,NA,180.8357712310035,84.12987518310547,NA,62.01295471191405,NA
Ameriflux,UFLUX Bonneville Salt Flats,US-UTB,-113.8299,40.7848,0,0,0,8.428143501281738,NA,0,0
Ameriflux,UFLUX Dugout Ranch,US-UTD,-109.5952,38.1038,1.980266806848638,0.20579478083353508,5.235932520495845,9.397926330566406,5.610357982917007,8.66175365447998,12.882374200029723
Ameriflux,UFLUX Matheson,US-UTM,-109.5775,38.5879,2.160889984791571,0.01276541979469996,14.6183515410696,8.444945335388184,36.60206676662036,7.443256378173826,6.550468444824219
Ameriflux,UFLUX Nephi,US-UTN,-111.8814,39.6896,0.002356320007441168,0,1.4171650531917261,10.734203338623047,NA,6.694870471954341,36.48202896118164
Ameriflux,UFLUX Desert View,US-UTV,-109.9546,40.1266,NA,0.2306788333274438,1.2370140727944852,8.868215560913086,NA,0,2.3505659103393555
Ameriflux,UFLUX Wellington,US-UTW,-110.7288,39.4453,0,0,1.5492562514556152,9.233955383300781,NA,0.428724467754364,5.571077346801758
Ameriflux,Vaira Ranch- Ione,US-Var,-120.9508,38.4133,2.459255830726739,13.2487849199091,27.04125977864389,23.775894165039062,22.98571353051895,10.820810317993171,27.805683135986328
Ameriflux,Valles Caldera Mixed Conifer,US-Vcm,-106.5321,35.8884,23.676579723256456,45.63987348041433,28.483051788496425,36.00841522216797,NA,56.00088500976564,92.83678436279297
Ameriflux,Valles Caldera Ponderosa Pine,US-Vcp,-106.5967,35.8642,66.68810604486822,57.9566756288106,68.8665098619285,36.00841522216797,NA,100.52260589599608,92.52532920029121
Ameriflux,Valles Caldera Sulphur Springs Mixed Conifer,US-Vcs,-106.6142,35.9193,104.97121051397897,86.11161609788783,100.83824079087617,36.00841522216797,NA,100.52260589599598,154.8845672607422
Ameriflux,Virginia Coast Reserve Fowling Point,US-VFP,-75.8333,37.4111,NA,NA,0.7500076385927692,NA,NA,0.3439390737331114,NA
